Co_ID,Exchange,Name,"Root
Ticker"," QMV(C$)
31-August-2019 "," O/S Shares
31-August-2019 ",Sector,"Sub
Sector",Listing Type,"Date of 
TSX Listing
YYYYMMDD","HQ
Location","HQ
Region","Interlisted
Code_I","Interlisted
Code_II",Listed on OTC,"TSX 
Venture 
Grad","Former
CPC",Index,USA_City,USA_State,Asia Region,Israel Related,"Place of Incorporation
C=Canada
U=USA
F=Foreign",SP Grouping,SP_Sub," Volume YTD
31-August-2019 "," Value (C$) YTD
31-August-2019 "," Number of 
Trades YTD
31-August-2019 "," Number of
Months of 
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,CHINA & ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Mineral Properties (General),Other Properties
AGN0001,TSX,Agnico Eagle Mines Limited,AEM," 19,834,740,099 "," 238,283,759 ", Mining ,,,19571227,ON,Canada,NYSE,,,,,60,,,,,C,,," 140,709,330 "," 8,701,113,851 "," 1,017,569 ", 8 ,,,"NU,Quebec",,Mexico,,"Finland,Sweden",AK,,1,1,1,,,,,,,1,,,,,,,1,,
ANA0004,TSX,Alacer Gold Corp.,ASR," 1,720,949,246 "," 294,683,090 ", Mining ,,TSXV Grad,20030718,USA,USA,ASX,,,1,,1,Lakewood,CO,,,C,,," 162,603,327 "," 670,428,184 "," 387,254 ", 8 ,,,,,,,Turkey,,,1,1,1,,,,,,,1,,,,,,,,,
ALA0001,TSX,Alamos Gold Inc.,AGI," 3,657,653,840 "," 389,941,774 ", Mining ,,TSXV Grad,20040621,ON,Canada,NYSE,,,1,1,1,,,,,C,,," 158,642,886 "," 1,095,336,767 "," 499,733 ", 8 ,,,"MB, ON",,Mexico,,Turkey,OR,,1,,,,,,,,,,,,,,,,,,
ALD0003,TSX,Alderon Iron Ore Corp.,IRON," 32,748,069 "," 139,353,486 ", Mining ,,TSXV Grad,20111012,BC,Canada,,,,1,,,,,,,C,,," 11,466,467 "," 4,005,100 "," 4,783 ", 8 ,,,NL,,,,,,,,,,,,,,1,,,,,,,,,,,
ALE0007,TSX,Alexco Resource Corp.,AXU," 377,892,461 "," 116,994,570 ", Mining ,,IPO,20060125,BC,Canada,NYSE MKT,,,,,,,,,,C,,," 24,154,610 "," 49,603,338 "," 61,615 ", 8 ,,,YT,,,,,,,,1,,,,,,,1,1,,,,,,,,,
TIM0009,TSX,Alio Gold Inc.,ALO," 78,777,643 "," 84,707,143 ", Mining ,,TSXV Grad,20110323,BC,Canada,NYSE MKT,,,1,,,,,,,C,,," 16,558,457 "," 17,571,205 "," 22,245 ", 8 ,,,,,Mexico,,,NV,,1,,,,,,,,,,,,,,,,,,
FAI0002,TSX,Almaden Minerals Ltd.,AMM," 108,374,917 "," 111,726,719 ", Mining ,,TSXV Grad,19900518,BC,Canada,NYSE MKT,,,1,,,,,,,C,,," 7,015,482 "," 6,161,729 "," 7,622 ", 8 ,,,YT,,Mexico,,,NV,,1,1,1,,,,,,,1,,,,,,,1,,
ALM0005,TSX,Almonty Industries Inc.,AII," 143,319,609 "," 181,417,226 ", Mining ,,TSXV Grad,20180601,ON,Canada,,,OTCQX,1,1,,,,,,C,,," 8,922,346 "," 7,706,432 "," 4,500 ", 8 ,,Australia,,Korea,,,"Portugal, Spain",,,,,,,,,,,,,,,,,,1,,,
ALT0013,TSX,Altius Minerals Corporation,ALS," 575,327,974 "," 52,783,796 ", Mining ,,TSXV Grad,20070115,NL,Canada,,,,1,1,,,,,,C,,," 8,394,054 "," 102,567,752 "," 49,300 ", 8 ,,,NL,,Brazil,,,MI,,,,1,1,,,1,1,,1,,1,,1,1,,,,"Cobalt,Royalty Streaming"
SCO0013,TSX,Americas Silver Corporation,USA," 371,194,349 "," 82,487,633 ", Mining ,,TSXV Grad,20061018,ON,Canada,NYSE MKT,,,1,,,,,,,C,,," 30,412,571 "," 103,856,496 "," 114,441 ", 8 ,,,,,Mexico,,,ID,,,1,,,,,,,,,,,,,,,,,
AME0021,TSX,Amerigo Resources Ltd.,ARG," 106,299,917 "," 180,169,351 ", Mining ,,TSXV Grad,20040323,BC,Canada,,,OTCQX,1,,,,,,,C,,," 18,544,631 "," 15,677,354 "," 11,111 ", 8 ,,,,,Chile,,,,,,,1,,,1,,,,,,,,,,,,,
ANA0005,TSX,Anaconda Mining Inc.,ANX," 31,519,075 "," 134,123,725 ", Mining ,,TSXV Grad,20070418,ON,Canada,,,,1,,,,,,,C,,," 25,422,152 "," 7,384,205 "," 7,461 ", 8 ,,,"NL,NS",,,,,,,1,,,,,,,,,,,,,,,,,,
ANG0008,TSX,Anglo Pacific Group PLC,APY," 562,558,215 "," 181,470,392 ", Mining ,,Other,20100709,UK,UK/Europe,LSE,,,,,,,,,,F,,," 364,427 "," 1,253,370 ", 174 , 8 ,Liberia,Australia,"BC,ON",,Brazil,,Spain,,,1,1,1,1,,,,1,,,,,,1,1,,,,"Cobalt, Royalty Streaming"
AQU0010,TSX,Aquila Resources Inc.,AQA," 64,274,066 "," 338,284,556 ", Mining ,,TSXV Grad,20070528,ON,Canada,,,,1,,,,,,,C,,," 5,394,261 "," 1,088,069 "," 1,974 ", 8 ,,,,,,,,"MI,WI",,1,,1,1,,,,,,1,,,,,,,,,
ARG0009,TSX,Argonaut Gold Inc.,AR," 435,062,116 "," 178,304,146 ", Mining ,,TSXV Grad,20091230,USA,USA,,,,1,1,,Reno,NV,,,C,,," 72,075,083 "," 143,015,649 "," 104,137 ", 8 ,,,ON,,Mexico,,,,,,,,,,,,,,,,,,,,,,,
KEE0001,TSX,Asanko Gold Inc.,AKG," 300,320,137 "," 225,804,614 ", Mining ,,TSXV Grad,20081222,BC,Canada,NYSE MKT,,,1,1,,,,,,C,,," 21,368,643 "," 20,558,078 "," 19,029 ", 8 ,Ghana,,,,,,,,,1,,,,,,,,,,,,,,,,,,
ASC0006,TSX,Ascendant Resources Inc.,ASND," 29,911,474 "," 77,692,139 ", Mining ,,TSXV Grad,20170720,ON,Canada,,,,1,1,,,,,,C,,," 6,148,129 "," 2,563,976 "," 1,951 ", 8 ,,,,,Honduras,,Portugal,,,1,1,1,,,,,1,1,1,,,,,,,,,
EME0008,TSX,Atalaya Mining plc,AYM," 446,352,160 "," 137,339,126 ", Mining ,,IPO,20101220,Cyprus,UK/Europe,AIM,,,,,,,,,,F,,," 44,496 "," 158,906 ", 130 , 8 ,,,,,,,Spain,,,,1,1,,,,,,,,,,,,,,,,
ATL0009,TSX,Atlatsa Resources Corporation,ATL," 47,125,854 "," 554,421,806 ", Mining ,,TSXV Grad,20140205,South Africa,Africa,JSE,,,1,,,,,,,C,,," 4,978,106 "," 415,862 ", 525 , 8 ,South Africa,,,,,,,,,,,,,,,1,,,,,,,,,,,,
AUR0011,TSX,Aura Minerals Inc.,ORA," 78,674,359 "," 4,353,866 ", Mining ,,Other,20060725,BC,Canada,,,,,,,,,,,F,,," 254,193 "," 4,268,851 ", 704 , 8 ,,,,,"Brazil,Colombia,Honduras,Mexico",,,,,1,,1,,,,,,,,,,,,,,1,,
AUR0018,TSX,Auryn Resources Inc.,AUG," 161,788,830 "," 95,169,900 ", Mining ,,TSXV Grad,20161101,BC,Canada,NYSE MKT,,,1,1,,,,,,C,,," 21,507,854 "," 40,177,238 "," 42,908 ", 8 ,,,"NU,BC",,Peru,,,,,1,,,,,,,,,,,,,,,,,,
